ISO,Country,Units,Scale,Country/Series-specific Notes,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
MYS,Malaysia,U.S. dollars,Billions,,101.054,109.833,120.025,135.869,150.345,170.412,202.733,241.763,211.854,258.641,302.184,318.91,327.869,342.868,301.355,301.255,319.109,358.713,364.684,338.276,387.093,2019
MDV,Maldives,U.S. dollars,Billions,,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.286,3.69,4.098,4.367,4.747,5.293,5.632,3.755,4.536,2020
MLI,Mali,U.S. dollars,Billions,,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.837,10.221,10.698,12.993,12.45,13.243,14.369,13.106,14.022,15.36,17.079,17.308,17.639,19.912,2018
MLT,Malta,U.S. dollars,Billions,,4.089,4.478,5.455,6.102,6.415,6.811,7.989,9.127,8.721,9.043,9.637,9.468,10.551,11.629,11.093,11.698,13.217,14.872,15.218,14.559,16.476,2020
MHL,Marshall Islands,U.S. dollars,Billions,,0.122,0.132,0.131,0.133,0.137,0.142,0.148,0.152,0.15,0.16,0.172,0.181,0.185,0.182,0.184,0.201,0.212,0.222,0.239,0.234,0.234,2019
MRT,Mauritania,U.S. dollars,Billions,,1.746,1.777,2.051,2.362,2.936,4.009,4.328,5.138,4.725,5.637,6.782,6.721,7.331,6.615,6.182,6.414,6.784,7.048,7.93,8.176,9.239,2018
MUS,Mauritius,U.S. dollars,Billions,,4.817,5.055,6.073,6.869,6.775,7.029,8.15,9.99,9.129,10.004,11.518,11.669,12.13,12.803,11.692,12.232,13.259,14.182,14.048,11.396,12.212,2018
MEX,Mexico,U.S. dollars,Billions,,756.693,772.11,729.335,782.243,877.477,975.383,"1,052.70","1,109.99",900.047,"1,057.80","1,180.49","1,201.09","1,274.44","1,315.36","1,171.87","1,078.49","1,158.91","1,222.35","1,268.87","1,076.16","1,192.48",2020
FSM,Micronesia,U.S. dollars,Billions,,0.241,0.242,0.245,0.24,0.25,0.253,0.257,0.263,0.28,0.297,0.311,0.327,0.317,0.319,0.316,0.332,0.367,0.402,0.413,0.408,0.401,2018
MDA,Moldova,U.S. dollars,Billions,,1.481,1.662,1.981,2.598,2.988,3.408,4.401,6.055,5.438,6.977,8.417,8.708,9.496,9.51,7.726,8.072,9.67,11.309,11.956,11.5,11.998,2019
MNG,Mongolia,U.S. dollars,Billions,,1.485,1.634,1.864,2.319,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.75,11.159,11.426,13.138,13.997,13.137,14.233,2020
MNE,Montenegro,U.S. dollars,Billions,,1.15,1.269,1.681,2.073,2.261,2.724,3.686,4.564,4.171,4.146,4.544,4.09,4.466,4.595,4.055,4.376,4.855,5.509,5.543,4.79,5.651,2020
MAR,Morocco,U.S. dollars,Billions,,39.46,42.238,52.064,59.626,62.343,68.641,79.041,92.507,92.897,93.217,101.371,98.266,106.826,110.081,101.179,103.312,109.683,118.096,119.701,113.548,124.003,2019
MOZ,Mozambique,U.S. dollars,Billions,,5.31,5.626,6.254,7.589,8.512,9.303,10.534,12.64,12.261,11.418,14.382,16.257,16.968,17.623,15.951,11.937,13.15,14.71,15.195,14.385,13.957,2019
